AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N11,N21,Len.,Voc.,Vol.,Dif.,Eff.,ConMetric,ConLockMetric,AtomicMetric,CollSynMetric,DesThread,StartMetric,SleepMetric,YieldMetric,JoinMetric,WaitMetric,NotifyMetric,NotifyAllMetric,Syn,LockLock,LockUnlock,ConAwait,ConSignal,ConSignalAll,SemAcquire,SemRelease,LatchAwait,LatchCountDown,BarrierAwait,ThrFctNewThr,Execute,AwaitTermi,Shutdown,ShutdownNow,ThrPoolExecFinalize,StartThread,ThrPoolExecReject,NewThrPool,FutureCancel,FutureGet,FutureRun,VectorMetric,HashTableMetric,ThreadLocal,VolatileMetric,FinalMetric,FinallyMetric,
0,0,0,0,0,0,0,0,1,0,0,0,17,17,0,17,0,0,0,17,96,13,23,22,0,60,21,22,22,0,0,0,0,0,0,2.61,0,0,0,0,71,36,71,36,107,107,278,31,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,12,0,9,2,1,0,0,2,2,2,3,2,0,0,0,2,63,10,28,12,17,25,20,25,13,12,2,2,2,1,1,0.89,4,4,4,2,28,29,71,48,119,57,576,21,6132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,5,0,4,0,1,2,1,28,28,26,8,28,1,0,0,27,234,43,152,52,76,43,82,119,53,66,3,3,3,1,1,0.28,34,34,34,28,234,155,390,253,643,389,2790,165,37147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,9,1,8,0,1,0,1,2,2,2,0,2,0,0,0,2,48,8,23,9,12,17,14,19,9,10,3,3,3,1,2,0.74,4,4,4,2,19,19,51,30,81,38,383,13,3676,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,0,0,0,3,50,6,9,7,0,35,6,7,7,0,0,0,0,0,0,3.89,0,0,0,0,18,11,18,11,29,29,97,8,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,15,5,5,4,0,5,3,4,4,0,0,0,0,0,0,1,0,0,0,0,6,6,7,6,13,12,46,3,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,6,0,5,1,1,1,3,4,4,3,1,4,0,1,0,3,72,10,41,19,17,22,21,28,18,10,3,3,3,1,1,0.54,6,6,6,4,34,30,60,42,102,64,499,21,6725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,5,0,0,0,5,86,5,10,8,0,71,7,8,8,0,0,0,0,0,0,7.1,0,0,0,0,24,17,26,18,44,41,138,10,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,4,0,1,0,1,4,4,4,0,4,0,0,0,4,46,8,21,7,5,17,6,11,7,4,1,1,1,1,0,0.81,4,4,4,4,21,12,26,16,42,33,129,12,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,2,1,9,0,8,0,2,0,1,8,8,8,6,8,0,0,0,8,136,20,93,42,49,24,53,68,34,34,8,8,8,1,3,0.26,16,16,16,8,78,97,219,150,369,175,2001,50,34473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
5,5,5,1,35,5,23,8,1,0,1,1,1,1,1,1,0,0,1,0,76,15,32,13,18,30,21,27,13,14,5,5,5,1,2,0.94,5,5,5,1,25,26,93,64,157,51,890,30,26700,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5,5,1,26,1,20,6,1,0,1,2,2,2,1,2,0,0,1,1,97,15,50,18,29,35,30,41,18,23,9,9,9,1,5,0.7,10,10,10,2,36,37,148,97,245,73,1451,44,59982,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,2,1,8,0,7,0,1,0,0,4,4,4,3,4,3,0,0,1,85,13,40,17,19,35,21,31,18,13,5,5,6,1,3,0.88,8,8,9,4,43,41,85,54,139,84,669,28,8685,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
